,FLAG,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,Unique Received From Addresses,Unique Sent To Addresses,min value received,max value received ,avg val received,min val sent,max val sent,avg val sent,min value sent to contract,max val sent to contract,avg value sent to contract,total transactions (including tnx to create contract,total Ether sent,total ether received,total ether sent contracts,total ether balance, Total ERC20 tnxs, ERC20 total Ether received, ERC20 total ether sent, ERC20 total Ether sent contract, ERC20 uniq sent addr, ERC20 uniq rec addr, ERC20 uniq sent addr.1, ERC20 uniq rec contract addr, ERC20 avg time between sent tnx, ERC20 avg time between rec tnx, ERC20 avg time between rec 2 tnx, ERC20 avg time between contract tnx, ERC20 min val rec, ERC20 max val rec, ERC20 avg val rec, ERC20 min val sent, ERC20 max val sent, ERC20 avg val sent, ERC20 min val sent contract, ERC20 max val sent contract, ERC20 avg val sent contract, ERC20 uniq sent token name, ERC20 uniq rec token name
total Ether sent,-0.012291550412334649,-0.006945934791401497,-0.010007053045214577,0.011730842301631988,0.24430652545544557,0.13196905206724618,0.024813695444409912,0.02867422700063177,0.1643629875004181,-0.002117719178095021,0.11264812171576896,0.1553806775826409,0.00012061649607299006,0.4700937382772091,0.19927125509373622,-0.00026158111052780353,-0.00039492371827345426,-0.00040605607421993317,0.23137794806765907,1.0,0.7749464661752141,-0.0003949239609358273,-0.31384348557180264,0.07197898247548967,0.003718696781944858,0.00016939630527543957,-0.0005363998649011904,0.006331953895843197,0.038650337532137,-0.0015515172441450092,0.08777803190794384,,,,,-0.0008375593946040596,0.002914946955875425,0.0019017975295116212,-0.0003034183553957864,-0.00020389203694960815,-0.00026419909379739765,,,,0.007718791302066644,0.08790748547331087
total ether received,-0.01385716531111106,-0.007854441548306836,-0.011358546409103986,0.01332907044339217,0.15553804781849814,0.23524029638746646,-0.0008267401502404952,0.12470840440459618,0.08613917441653336,-0.002283927634966381,0.2960934139252412,0.06252434469475956,0.0011198024955378588,0.0864284973429009,0.16553517279179314,-0.0002912399267819561,-0.00044355456699966524,-0.0004551684247291795,0.250801231482138,0.7749464661752141,1.0,-0.0004435548325895334,0.35688165051863446,0.06546558998281102,0.002497767602041318,-3.804357780232777e-05,0.0247237769023354,0.002379089979718158,0.024793310598647197,0.010682902128144683,0.07041267971568375,,,,,-0.0009473436645352824,0.0020308139461919323,0.0012045024788052844,-0.000334201849045841,-0.00027901525219273433,-0.00030683079239555647,,,,0.0040771119242158475,0.0705230288332912
total ether sent contracts,-0.006570190359901678,0.0008426556412533542,-0.003496404862756601,0.03602239816607665,0.013068646174347361,0.008033291714336989,-0.0002595110752545194,0.023152351011536582,0.010800975265174305,-0.0022015124002167635,-0.0006046539161593036,-0.0005611560219781922,-0.000543063489701733,-0.0006572354329229283,-0.003006314087488079,0.43684119330831084,0.9999999999969958,0.9496065877428618,0.01288848159884489,-0.0003949239609358273,-0.0004435548325895334,1.0,-8.263475742761054e-05,-0.00030445453676344354,0.00042619726632937843,-0.00018011062320746665,-0.0002833528212758425,5.008776618001972e-05,0.0013098363547030508,-0.0008195878059506738,0.012053143691816164,,,,,-0.00044999318924050124,0.00011737912365412484,5.824189906415764e-05,-0.00017424571630185375,-0.00016919201558426421,-0.00016531755149804957,,,,0.0056506755187488164,0.012410762855030446
total ether balance,-0.00265001598256542,-0.0015332441792725389,-0.002272954184115849,0.0026854139850587388,-0.12743033754454525,0.15834117621947605,-0.03791717338632795,0.14496450091598573,-0.11352784681192366,-0.00030103947396594,0.2783157209431787,-0.13572763504542276,0.0015039713590981334,-0.5649699699970345,-0.04584884242057345,-5.089917596740458e-05,-8.263471710035324e-05,-8.362788805444868e-05,0.034789363575017024,-0.31384348557180264,0.35688165051863446,-8.263475742761054e-05,1.0,-0.008039554706895463,-0.001743995311704297,-0.00030752316757203115,0.037934587915643185,-0.005784732496235869,-0.019879812241633953,0.018341775107360698,-0.023959034534223406,,,,,-0.00018523435700371237,-0.0012575256728314397,-0.0010014111232608599,-5.36022670115358e-05,-0.0001177992076394818,-7.045049212318134e-05,,,,-0.005283621996990391,-0.02398459562869727
 Total ERC20 tnxs,-0.02569689008544698,-0.012307436476715538,-0.02057783131155236,0.0759223423649967,0.38131140642848116,0.11620346215777826,0.24950006056705765,0.057717979373700136,0.14807098435357105,-0.007647695669996584,0.03226087593840176,0.01226350077172194,-0.0025741681698581423,0.13083413070116817,0.02039311436498124,-0.00010282789991571126,-0.00030445461896567007,-0.0002785991617812899,0.3207499954863143,0.07197898247548967,0.06546558998281102,-0.00030445453676344354,-0.008039554706895463,1.0,0.004297184073648896,0.000724535303817636,0.006079321652715813,0.7259114075626169,0.7171542287295624,0.0022687310104911817,0.2640453217944838,,,,,-0.002160431340186758,0.0031090272441507668,0.0005709460912705426,-0.0008175820252220255,-0.00045708448122316707,-0.0007715263241750871,,,,0.1850887557388533,0.26161997069026294
 ERC20 total Ether received,-0.004474950731202961,-0.0025420416181358443,-0.0036561851970688193,0.04678831492217211,0.006683018263468005,0.016501330031400373,0.002071703524830613,0.002741811638917987,0.005709181104238472,-0.0017269849320485787,0.006229797330468094,0.004473987939592308,-0.00042541822181596143,0.03287996172342521,0.01935035269197951,0.001242077220055735,0.0004261943893998773,0.0007726470046833815,0.015446509595767138,0.003718696781944858,0.002497767602041318,0.00042619726632937843,-0.001743995311704297,0.004297184073648896,1.0,0.00010060228669358568,-0.00015026156396145789,0.0033249701799375917,0.0063108453472473704,0.0009772826682650432,0.02986969900283824,,,,,-0.0003521367642938123,0.9999665890911632,0.8598224717098505,-0.0001364974377115923,-5.8587739314586e-05,-6.843033336340965e-05,,,,0.01816844846456286,0.03076466716033804
 ERC20 total ether sent,0.024762246540287653,-0.002104957153959101,-0.0038760530854583734,-0.00501372552477616,-0.00031514982579089755,-0.00045228042730769655,0.0011662525391412449,5.89101754024935e-05,4.228021487164569e-06,-0.0016271651356458872,-0.00026562826029692823,-0.0003903200500432891,-0.0004070155363873644,0.0006150976852835173,-0.0015982777567061421,-0.0001573729841145735,-0.00018011040879692156,-0.00019845490049488375,-0.00036915890743606457,0.00016939630527543957,-3.804357780232777e-05,-0.00018011062320746665,-0.00030752316757203115,0.000724535303817636,0.00010060228669358568,1.0,-0.00021270247777406318,0.0003272130736387124,0.0005319439585149054,-0.0006152337765279253,0.001700348513807809,,,,,-0.00032537303981326375,-3.909151987882837e-07,0.0001992317921953818,0.9993107519848012,0.9996492271885276,0.9995659061716183,,,,0.003628737376222961,0.001728452019302954
 ERC20 total Ether sent contract,0.01351392675641073,-0.0044094294063407435,-0.0061597499214874896,-0.008389163761518144,-0.002896745939917856,0.10487029036572001,-0.00037429045909088705,0.11667229584344913,-0.0018478192397258179,-0.002546176425762307,0.06870426632393704,-0.000329537757983857,-0.0006280784067993891,-0.0008956031218011509,-0.003523327957234753,-0.0002558670935381959,-0.0002833524613869864,-0.0003150993977497871,0.0713171245070183,-0.0005363998649011904,0.0247237769023354,-0.0002833528212758425,0.037934587915643185,0.006079321652715813,-0.00015026156396145789,-0.00021270247777406318,1.0,-0.0009321683527159409,0.012104851319769742,0.27461341419168767,0.03675625157197066,,,,,-0.0005207090730687655,-0.00014316596242328056,-0.00018466131673063445,-0.0002013783149647299,-0.00020001559748163616,-0.0001933912992851021,,,,-0.00313516197743536,0.03662466706109152
 ERC20 uniq sent addr,-0.020554062220193035,-0.009476886525368095,-0.014775744654896643,0.040686219673405695,0.3560647393946847,0.04418673239968255,0.1547883406150722,0.04519999484018635,0.12178868984808863,-0.006072254017477742,0.001475018343287694,-0.00013465863955182758,-0.0018574602589011655,0.04664950724473525,-0.0067260823474616085,-0.0005781014956735721,5.008940090876965e-05,-0.0001615000576421634,0.24655499983925844,0.006331953895843197,0.002379089979718158,5.008776618001972e-05,-0.005784732496235869,0.7259114075626169,0.0033249701799375917,0.0003272130736387124,-0.0009321683527159409,1.0,0.5663388669484214,-0.00250007335999641,0.14522214722243748,,,,,-0.001218818448603313,0.002595732253434436,0.0010547788524793847,-0.0004908631271586305,-0.00024770230235580455,-0.00046270437776220735,,,,0.10851489438647578,0.14367918820453557
 ERC20 uniq rec addr,-0.01753915309910493,-0.0011328843204831166,-0.016036542136512375,0.08070857254941233,0.30046107971619335,0.13648493596349198,0.19064598718654915,0.08302565820609327,0.1769884546373076,-0.005189518099109654,0.03918526271183691,0.037338343676717636,-0.00209204010363236,0.19891840174757555,0.010298062981122633,0.0028910942787721884,0.0013098300365433683,0.0020518514119516784,0.28337723731279446,0.038650337532137,0.024793310598647197,0.0013098363547030508,-0.019879812241633953,0.7171542287295624,0.0063108453472473704,0.0005319439585149054,0.012104851319769742,0.5663388669484214,1.0,0.010517730635080484,0.4431336356093944,,,,,-0.002311561073032491,0.005313677007625299,0.0030223857679419915,-0.00086125748193583,-0.000419440567744964,-0.000796705875500792,,,,0.3200356344420851,0.43724537085089993
 ERC20 uniq sent addr.1,-0.0030471330561018346,-0.012754115368835788,-0.01469776667327143,0.01996141968604194,-0.008378733053032066,0.3377267204132196,-0.0010826216403045437,0.24149445546915305,-0.005344750441027088,-0.007364723389580625,0.04868989479258774,-0.001739276993248142,-0.0018166941168112976,-0.002590499696789729,-0.010191098917287898,-0.0007400863307579315,-0.0008195867649851509,-0.0009114136322882081,0.23021669423505672,-0.0015515172441450092,0.010682902128144683,-0.0008195878059506738,0.018341775107360698,0.0022687310104911817,0.0009772826682650432,-0.0006152337765279253,0.27461341419168767,-0.00250007335999641,0.010517730635080484,1.0,0.03144366366561427,,,,,-0.0014939677175067753,0.0009987418236982297,0.0031174127997848438,-0.000582283158363737,-0.0005785374331136295,-0.0005593767160477464,,,,-0.006754806892364051,0.031636581326006614
 ERC20 uniq rec contract addr,-0.018526673480888087,0.045614516466033324,-0.014931587658473404,0.3191759534068185,0.21966475419666362,0.20168564253053112,0.02898551834922387,0.1477412110809096,0.2373506859959246,-0.0032162795144343166,0.18137472924365508,0.20258302459527722,-0.004108088364601588,0.1657553173706272,0.04524495011472033,0.01865749317231285,0.012053107203029947,0.01611225186305526,0.26651927495035305,0.08777803190794384,0.07041267971568375,0.012053143691816164,-0.023959034534223406,0.2640453217944838,0.02986969900283824,0.001700348513807809,0.03675625157197066,0.14522214722243748,0.4431336356093944,0.03144366366561427,1.0,,,,,-0.006490999531772927,0.027431122344801055,0.0211605696701398,-0.0023274177188860575,-0.0008322966894731764,-0.0020925496210327903,,,,0.7871262844253426,0.9996415621603868
 ERC20 avg time between sent tnx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ERC20 avg time between rec tnx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ERC20 avg time between rec 2 tnx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ERC20 avg time between contract tnx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ERC20 min val rec,0.011163151587451008,0.004673006415046206,-0.008319062976157875,-0.010543354618645188,-0.003867736365013519,-0.00446449864847434,-0.0007876290171054361,-0.0019987929505977213,-0.0023325632623728064,-0.0011535400029919576,-0.0010760330104140343,-0.0006480600008909399,-0.000490493076255632,-0.0011241537285730967,-0.002931044003811371,-0.00040600514307220716,-0.0004499926186209495,-0.0005002922481545498,-0.005357377814803293,-0.0008375593946040596,-0.0009473436645352824,-0.00044999318924050124,-0.00018523435700371237,-0.002160431340186758,-0.0003521367642938123,-0.00032537303981326375,-0.0005207090730687655,-0.001218818448603313,-0.002311561073032491,-0.0014939677175067753,-0.006490999531772927,,,,,1.0,-0.0003402766176906289,-0.0005038098252577663,0.006788550053069972,-0.00030694543725396,-0.0002912121211013937,,,,-0.002790862279757887,-0.006582296110716055
 ERC20 max val rec,-0.004313011269473587,-0.002455932354538955,-0.003544423692752828,0.04651212324222141,0.0042911428207672315,0.015379204676485708,0.0009202945070491333,0.0016030253526588246,0.003598439028599892,-0.0016700771736015364,0.003993017459988422,0.0013565881591911526,-0.0004113619000997056,0.03162033481946699,0.018989802393593554,0.0005263988072920383,0.00011737782911983558,0.0002770205494562075,0.013204238483923504,0.002914946955875425,0.0020308139461919323,0.00011737912365412484,-0.0012575256728314397,0.0031090272441507668,0.9999665890911632,-3.909151987882837e-07,-0.00014316596242328056,0.002595732253434436,0.005313677007625299,0.0009987418236982297,0.027431122344801055,,,,,-0.0003402766176906289,1.0,0.8597655267804063,-0.00013190468980917453,-8.94601933600554e-05,-9.4108024691029e-05,,,,0.017572073147346233,0.028330747151273594
 ERC20 avg val rec,0.007881428267691263,-0.0031490625667730597,-0.00560636797729633,0.04901997637848614,0.008843244212986375,0.019125838138419646,0.002051742233676691,0.0035920276605272763,0.005245682394166455,-0.002851548770874719,0.0024402273025735284,-0.00011950280179366215,-0.0006942299326595978,0.026005010440057274,0.014155380422210975,0.0005734856978135046,5.824040584872847e-05,0.0002462725926178963,0.01848168496399906,0.0019017975295116212,0.0012045024788052844,5.824189906415764e-05,-0.0010014111232608599,0.0005709460912705426,0.8598224717098505,0.0001992317921953818,-0.00018466131673063445,0.0010547788524793847,0.0030223857679419915,0.0031174127997848438,0.0211605696701398,,,,,-0.0005038098252577663,0.8597655267804063,1.0,-0.00022446280404196775,-0.000135447592035347,-0.00014081348819381222,,,,0.01343675563610186,0.021930135516543846
 ERC20 min val sent,0.025364154087448073,-0.0016865676094982842,-0.0037580083302146345,-0.006851829616385321,-0.0015572279730832073,-0.0018987582270124496,-9.203288388440603e-05,-0.0010439987023374332,-0.0009674698315933764,-0.0014975124719444686,-0.00044827205549451365,-0.0003855390376029087,-0.00038666057154791836,-0.0005141619834210162,-0.001974363705582311,-0.00015706741167888043,-0.0001742454957433052,-0.00019367181006711242,-0.002203865463824716,-0.0003034183553957864,-0.000334201849045841,-0.00017424571630185375,-5.36022670115358e-05,-0.0008175820252220255,-0.0001364974377115923,0.9993107519848012,-0.0002013783149647299,-0.0004908631271586305,-0.00086125748193583,-0.000582283158363737,-0.0023274177188860575,,,,,0.006788550053069972,-0.00013190468980917453,-0.00022446280404196775,1.0,0.9997292418789336,0.9997854925131819,,,,-0.0006342714189974217,-0.002364616528400214
 ERC20 max val sent,0.025038127044248428,-0.002019971720655375,-0.0037803473134045153,-0.006268484320347566,-0.0010188347024212376,-0.0007441789778947434,0.0001489188678734606,-0.00026065475522979914,-0.0004394953992442591,-0.0015287884436379915,-0.0002927125193239382,-0.00038042942114561236,-0.00038270012075563247,-0.00019419892017132756,-0.0016820443831654778,-0.0001475841762920448,-0.00016919181484897192,-0.00018633760947798023,-0.0010733500315398472,-0.00020389203694960815,-0.00027901525219273433,-0.00016919201558426421,-0.0001177992076394818,-0.00045708448122316707,-5.8587739314586e-05,0.9996492271885276,-0.00020001559748163616,-0.00024770230235580455,-0.000419440567744964,-0.0005785374331136295,-0.0008322966894731764,,,,,-0.00030694543725396,-8.94601933600554e-05,-0.000135447592035347,0.9997292418789336,1.0,0.9999517368884082,,,,0.0010873710193085734,-0.0008395110833875563
 ERC20 avg val sent,0.025043510161856648,-0.0019650968305218856,-0.0037269810999241617,-0.006802007250095871,-0.001415278293253602,-0.0009177617079209685,-6.97727513814169e-05,-0.0005462201567280656,-0.0008273274867279416,-0.0014773750274222177,-0.00031538144798523647,-0.0003765815983103664,-0.00037000653657226154,-0.00041302388793741467,-0.0016673586619555853,-0.0001466526463969314,-0.0001653173486893372,-0.00018292356183087903,-0.0014392835836261949,-0.00026419909379739765,-0.00030683079239555647,-0.00016531755149804957,-7.045049212318134e-05,-0.0007715263241750871,-6.843033336340965e-05,0.9995659061716183,-0.0001933912992851021,-0.00046270437776220735,-0.000796705875500792,-0.0005593767160477464,-0.0020925496210327903,,,,,-0.0002912121211013937,-9.4108024691029e-05,-0.00014081348819381222,0.9997854925131819,0.9999517368884082,1.0,,,,-0.0005180192263457434,-0.0021169807952905583
 ERC20 min val sent contract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ERC20 max val sent contract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ERC20 avg val sent contract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ERC20 uniq sent token name,0.00924942298991138,0.0005289937998551246,-0.019895722413089185,0.26393911039347345,0.07972799797539638,0.042680994553847655,0.006032628343958617,0.04067365919016828,0.08489652788592521,-0.02880990299569027,0.009787636182705409,0.008207506672747835,-0.007116868520530483,0.02204550379438117,-0.024549169936019532,0.0012908370647206158,0.00565067872728592,0.004955580147825239,0.07502353256231425,0.007718791302066644,0.0040771119242158475,0.0056506755187488164,-0.005283621996990391,0.1850887557388533,0.01816844846456286,0.003628737376222961,-0.00313516197743536,0.10851489438647578,0.3200356344420851,-0.006754806892364051,0.7871262844253426,,,,,-0.002790862279757887,0.017572073147346233,0.01343675563610186,-0.0006342714189974217,0.0010873710193085734,-0.0005180192263457434,,,,1.0,0.7884010322357649
 ERC20 uniq rec token name,-0.018047086565521748,0.047201935081774206,-0.014965674604443181,0.3242876174437949,0.22061354255030652,0.20274738265835252,0.030088991403375058,0.1488510960060005,0.23752025795111892,-0.002695137501573067,0.17903865716002057,0.20016799124710435,-0.004092348616780184,0.16506218047978785,0.04579994810720338,0.019074113836563326,0.012410725656755123,0.016542585035332444,0.267905618652222,0.08790748547331087,0.0705230288332912,0.012410762855030446,-0.02398459562869727,0.26161997069026294,0.03076466716033804,0.001728452019302954,0.03662466706109152,0.14367918820453557,0.43724537085089993,0.031636581326006614,0.9996415621603868,,,,,-0.006582296110716055,0.028330747151273594,0.021930135516543846,-0.002364616528400214,-0.0008395110833875563,-0.0021169807952905583,,,,0.7884010322357649,1.0
